product_name,price,description,reviews,category
Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",0 reviews,laptops
Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",0 reviews,laptops
ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",0 reviews,laptops
ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",0 reviews,laptops
ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",0 reviews,laptops
Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",0 reviews,laptops
Lenovo IdeaTab,$69.99,"7"" screen, Android",0 reviews,tablets
Acer Iconia,$96.99,"7"" screen, Android, 16GB",0 reviews,tablets
Asus MeMO Pad,$102.99,"7"" screen, Android, 8GB",0 reviews,tablets
Amazon Kindle,$103.99,"6"" screen, wifi",0 reviews,tablets
iPad Mini Reti...,$537.99,"Wi-Fi + Cellular, 32GB, Silver",0 reviews,tablets
IdeaTab A3500L,$88.99,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",0 reviews,tablets
Nokia 123,$24.99,7 day battery,0 reviews,phones
LG Optimus,$57.99,"3.2"" screen",0 reviews,phones
Samsung Galaxy,$93.99,5 mpx. Android 5.0,0 reviews,phones
Nokia X,$109.99,"Andoid, Jolla dualboot",0 reviews,phones
Sony Xperia,$118.99,"GPS, waterproof",0 reviews,phones
Ubuntu Edge,$499.99,Sapphire glass,0 reviews,phones
